Entity,Year,gdp_growth,gdp_per_capita,Electricity from renewables (TWh),Capacity(MW),Investment(USDmn)
Cuba,2020,-10.94834097,9477.852873,3.13,280.23,0.0
Dominica,2011,-0.223550688,7065.460372,0.04,7.11,0.0
Dominica,2012,-1.059000243,6849.455933,0.03,7.12,0.0
Dominica,2013,-0.999940631,7016.380071,0.04,7.12,7.64
Dominica,2014,4.447947365,7317.486143,0.03,7.12,1.7
Dominica,2015,-2.691108924,7597.288894,0.02,7.12,0.0
Dominica,2016,2.556494913,8080.968623,0.04,7.52,0.0
Dominica,2017,-6.79942797,7274.517731,0.03,7.52,13.26
Dominica,2018,2.214305241,7687.462963,0.02,7.21,1.64
Dominica,2019,7.571391597,8516.280039,0.02,7.21,8.94
Dominica,2020,-16.60491154,7003.859021,0.04,7.21,0.0
Ecuador,2011,7.868140919,5200.555108,11.41,241.51,394.8
Ecuador,2012,5.641962067,5682.046108,12.54,2278.39,26.48
Ecuador,2013,4.946511267,6056.331213,11.46,2297.99,333.46
Ecuador,2014,3.788868549,6377.093929,12.09,2439.94,507.66
Ecuador,2015,0.098872608,6124.490887,13.74,438.59,31.74
Ecuador,2016,-1.226383985,6060.092962,16.37,4639.79,134.67
Ecuador,2017,2.368386526,6213.503127,20.44,655.35,36.81
Ecuador,2018,1.289291933,6295.934662,21.06,262.4,0.89
Ecuador,2019,0.012105103,6222.524653,25.2,264.28,60.12
Ecuador,2020,-7.750123377,5600.389615,24.83,798.63,68.18
Estonia,2011,7.263084581,17464.92008,1.18,172.2,83.38
Estonia,2012,3.228200494,17404.2008,1.47,441.38,0.0
Estonia,2013,1.458428636,19050.58592,1.23,293.5,0.0
Estonia,2014,3.011366587,20234.11742,1.39,471.34,0.0
Estonia,2015,1.853020046,17395.04062,1.56,206.5,48.24
Estonia,2016,3.155564814,18282.92339,1.59,229.0,0.0
Estonia,2017,5.792044675,20387.28315,1.86,525.1,0.0
Estonia,2018,4.133819798,23052.30126,1.99,329.55,0.0
Estonia,2019,4.096342644,23397.12001,2.14,445.5,10.42
Estonia,2020,-2.951069313,23027.027,2.97,447.2,0.0
Ethiopia,2011,11.17829623,354.4795719,6.25,298.12,109.55
Ethiopia,2012,8.647811633,467.0778718,7.51,298.93,53.99
Ethiopia,2013,10.58227005,499.5315302,8.64,451.32,295.14
Ethiopia,2014,10.25749296,566.9264029,9.45,457.11,654.09
Ethiopia,2015,10.39246302,640.5419231,10.37,2528.87,315.03
Ethiopia,2016,9.433482658,717.1248698,12.46,2649.48,54.1
Ethiopia,2017,9.564189643,768.5230154,13.12,4366.17,361.35
Ethiopia,2018,6.816147797,771.5248663,13.78,4451.03,33.8
Ethiopia,2019,8.364085699,855.7608852,14.22,4451.03,55.11
Ethiopia,2020,6.056617792,936.3404611,14.22,671.86,0.0
Fiji,2011,2.705143029,4371.447385,0.56,137.96,0.01
Fiji,2012,1.411314382,4591.577015,0.62,182.7,0.11
Fiji,2013,4.73421949,4840.72727,0.61,182.07,4.71
Fiji,2014,5.603514887,5605.609148,0.53,182.6,6.67
Fiji,2015,4.501199392,5390.714207,0.53,184.03,1.7
Fiji,2016,2.445652008,5651.272721,0.6,186.03,0.19
Fiji,2017,5.353364937,6101.02389,0.64,200.54,0.05
Fiji,2018,3.81235097,6317.41372,0.71,202.88,5.61
Fiji,2019,-0.445563044,6175.890653,0.71,202.93,0.12
Fiji,2020,-15.71180398,5057.631913,0.7,203.08,0.0
Finland,2011,2.547664838,51081.99767,24.18,5282.0,143.26
Finland,2012,-1.397545728,47710.79022,28.56,5122.0,16.61
Finland,2013,-0.901696316,49878.04324,25.63,5254.0,69.34
Finland,2014,-0.364908157,50260.29986,26.28,5170.0,20.11
Finland,2015,0.543659212,42784.69836,30.53,6168.0,148.77
Finland,2016,2.811457767,43784.28396,30.41,3938.0,212.37
Finland,2017,3.19240963,46297.49635,31.48,7628.0,0.0
Finland,2018,1.141947509,49964.49991,32.14,7571.53,286.12
Finland,2019,1.220754143,48628.64176,31.88,8006.0,18.19
Finland,2020,-2.800135891,48744.98813,35.93,3626.3,129.03
France,2011,2.192700633,43790.72602,66.02,31526.73,262.49
France,2012,0.313134751,40874.70039,85.25,30256.38,0.0
France,2013,0.576326675,42592.93539,99.42,38693.25,714.61
France,2014,0.956183052,43011.2631,94.03,26272.93,286.78
France,2015,1.112912341,36638.18493,91.84,28940.52,558.91
France,2016,1.095464404,37037.37419,99.0,31949.0,504.79
France,2017,2.291419994,38685.25849,92.63,40071.44,1387.85
France,2018,1.865066071,41572.48501,113.62,33836.3,844.39
France,2019,1.842971814,40578.64429,113.21,44420.75,817.22
France,2020,-7.855256037,39030.36037,125.28,55366.29,699.69
Guatemala,2011,4.163906883,3228.045741,5.26,530.78,4.33
Guatemala,2012,2.974708568,3355.036919,5.94,1514.73,56.41
Guatemala,2013,3.694819199,3522.773706,6.44,1646.46,17.64
Guatemala,2014,4.443977583,3779.642336,6.86,775.75,23.97
Guatemala,2015,4.092170816,3994.636913,6.71,1278.29,0.02
Guatemala,2016,2.677802555,4173.301666,7.16,1767.11,14.42
Guatemala,2017,3.079851491,4454.04815,8.76,1852.9,0.86
Guatemala,2018,3.322097997,4478.424646,9.04,522.5,11.45
Guatemala,2019,3.866856575,4638.634943,8.3,1880.38,37.6
Guatemala,2020,-1.519328029,4603.339617,9.01,1880.33,0.0
Guyana,2011,5.339378131,4908.566448,0.14,54.17,0.0
Guyana,2012,5.383623469,5378.810878,0.14,54.66,0.09
Guyana,2013,3.653504768,5489.140726,0.14,55.15,0.02
Guyana,2014,1.686027732,5407.147366,0.15,55.81,0.02
Guyana,2015,0.68752121,5576.825852,0.16,56.42,2.85
Guyana,2016,3.807918837,5811.397924,0.15,46.86,0.0
Guyana,2017,3.734374061,6124.95367,0.15,48.36,0.0
Guyana,2018,4.441013589,6145.819277,0.16,52.01,30.81
Guyana,2019,5.352627426,6609.51128,0.16,54.08,14.63
Guyana,2020,43.47955594,6955.939217,0.15,54.08,1.46
Haiti,2011,5.098213544,1287.95465,0.12,57.13,31.32
Haiti,2012,0.502424404,1337.335946,0.22,57.44,12.11
Haiti,2013,4.324784115,1432.837618,0.14,57.69,13.92
Haiti,2014,1.722565602,1435.13647,0.09,57.8,0.81
Haiti,2015,2.562508835,1386.854191,0.08,58.7,49.59
Haiti,2016,1.812468078,1290.380508,0.07,58.21,8.67
Haiti,2017,2.510271345,1369.063734,0.13,58.74,26.18
Haiti,2018,1.667810955,1479.345827,0.2,80.71,0.74
Haiti,2019,-1.684595081,1312.770636,0.17,80.71,39.51
Haiti,2020,-3.343372612,1272.367992,0.11,80.71,0.33
Iceland,2011,1.845779156,47714.59223,16.85,2549.0,137.97
Iceland,2012,1.063636607,45995.54788,17.29,2542.64,0.0
Iceland,2013,4.55246032,49804.983,17.99,2651.92,0.0
Iceland,2014,1.687215018,54576.74481,17.8,2653.14,0.0
Iceland,2015,4.436663719,52951.68151,18.55,2657.54,37.93
Iceland,2016,6.303687107,61987.92636,18.17,2658.53,259.9
Iceland,2017,4.194948829,72010.14903,18.84,2081.47,0.0
Iceland,2018,4.892180731,74469.80406,19.43,1061.96,0.0
Iceland,2019,2.434823,68941.46223,19.12,979.42,0.0
